	-POSEE ERROR DE TIPO DATO EN PRECIO
C934311	-YA EXISTE EN LA LISTA DE PRODUCTOS DE LA TIENDA
C934310	-YA EXISTE EN LA LISTA DE PRODUCTOS DE LA TIENDA
C934308	-YA EXISTE EN LA LISTA DE PRODUCTOS DE LA TIENDA
C910243	-NO EXISTE EN LA TABLA PRODUCTOS
C934300	-YA EXISTE EN LA LISTA DE PRODUCTOS DE LA TIENDA
C934238	-YA EXISTE EN LA LISTA DE PRODUCTOS DE LA TIENDA
C934236	-YA EXISTE EN LA LISTA DE PRODUCTOS DE LA TIENDA
C934234	-YA EXISTE EN LA LISTA DE PRODUCTOS DE LA TIENDA
C934245	-YA EXISTE EN LA LISTA DE PRODUCTOS DE LA TIENDA
AL0011	-YA EXISTE EN LA LISTA DE PRODUCTOS DE LA TIENDA
AL0012	-YA EXISTE EN LA LISTA DE PRODUCTOS DE LA TIENDA
AL0013	-YA EXISTE EN LA LISTA DE PRODUCTOS DE LA TIENDA
AL0014	-POSEE ERROR DE TIPO DATO EN PRECIO
